Unnamed: 0,X,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,entrez
137,ENSMUSG00000020649.12,791.3829264327079,-5.159138359345997,0.15960968508198325,2.3408610527882036e-230,3.0441445632463237e-228,Rrm2,20135.0
138,ENSMUSG00000043263.14,9134.980297312435,5.8519330328686445,0.18135991641997617,5.116328609795888e-230,6.605254384936489e-228,Ifi209,236312.0
139,ENSMUSG00000038370.7,870.3230767435861,-4.532128897419411,0.14065638777148057,1.6351475866498883e-228,2.095812187320461e-226,Pcp4l1,66425.0
140,ENSMUSG00000038301.16,4045.2650519236204,2.093488249525554,0.06508245715014994,8.75904505781682e-228,1.1146510482147462e-225,Snx10,71982.0
141,ENSMUSG00000094724.9,5947.513505884793,1.893136989403218,0.05920233263591779,6.423242518642534e-225,8.116063029229459e-223,Rnaset2b,68195.0
142,ENSMUSG00000026012.3,2835.4490318611747,-4.1067512048379395,0.12866791659101556,1.1424908023720338e-224,1.4334236714831094e-222,Cd28,12487.0
143,ENSMUSG00000048285.10,873.5402039293338,-4.318672277493487,0.13526076195200273,2.8126792499916218e-224,3.5042443019476036e-222,Frmd6,319710.0
144,ENSMUSG00000026355.12,2445.7905375057094,-2.0532212622617445,0.06436239791241269,5.5748493746649e-224,6.897327531877073e-222,Mcm6,17219.0
145,ENSMUSG00000024983.11,1826.4786667768174,1.4526158112355354,0.045621270468492715,5.036370104288923e-223,6.18813584675941e-221,Vti1a,53611.0
146,ENSMUSG00000020134.14,1820.3769156447263,2.0707784218138365,0.06522876050062963,6.490623673513061e-222,7.92033913474717e-220,Peli1,67245.0
147,ENSMUSG00000017652.17,809.5318748983995,4.7246120433944805,0.1491576854560346,1.0544226687891102e-221,1.2779315827991011e-219,Cd40,21939.0
148,ENSMUSG00000040253.16,2278.929331363565,3.593666392505365,0.11337208478086064,1.2334339474689215e-221,1.484787784331507e-219,Gbp7,229900.0
149,ENSMUSG00000020641.17,36219.56158074016,7.246846887916564,0.22943274018308404,1.6853052970392938e-220,2.0151274612115476e-218,Rsad2,58185.0
150,ENSMUSG00000025151.17,911.8508919716891,-2.209467629025235,0.06996916868135768,1.0463857156629968e-219,1.2428271940167967e-217,Maged1,94275.0
151,ENSMUSG00000046879.8,4698.098287927195,3.61830203532489,0.11452129909021266,1.4690674540757456e-219,1.7333050173386413e-217,Irgm1,15944.0
152,ENSMUSG00000031451.7,8533.104456236078,-2.498117756581089,0.07921868368730398,5.057506621006978e-219,5.927930128938179e-217,Gas6,14456.0
153,ENSMUSG00000027555.9,1423.2599088744857,2.317684895305202,0.0738500775819644,5.348067035504592e-217,6.227526948009791e-215,Car13,71934.0
154,ENSMUSG00000003617.17,2927.874277058501,6.24850431440323,0.20011987371508677,2.1584591951919105e-216,2.4970850013986414e-214,Cp,12870.0
155,ENSMUSG00000078853.9,1760.053987212987,3.777113691968674,0.12085949803528903,1.0918477472232619e-215,1.2549909331954603e-213,Igtp,16145.0
156,ENSMUSG00000063800.6,943.1569889350412,1.7198202616769764,0.0549864429984293,2.7623563319207586e-215,3.154752590352579e-213,Prpf38a,230596.0
157,ENSMUSG00000030966.14,998.6971261047094,2.0946050730963472,0.06704909242265808,4.765955719794155e-215,5.408297267761316e-213,Trim21,20821.0
158,ENSMUSG00000041736.8,5736.2459730791825,2.851909304598874,0.09132591738494289,9.177232923834003e-215,1.0348201377913076e-212,Tspo,12257.0
159,ENSMUSG00000104713.5,3857.7396662422325,7.965010562796497,0.25748234898441885,7.034676894419176e-213,7.88237758182214e-211,Gbp6,100702.0
160,ENSMUSG00000027639.17,15044.554282898109,2.3695837194469878,0.07637738740735231,4.3684409933400955e-212,4.864259046084196e-210,Samhd1,56045.0
161,ENSMUSG00000020057.3,1433.9988468758702,1.8367014765887146,0.05929820368299864,2.0178920176561256e-211,2.232966719662207e-209,Dram1,71712.0
162,ENSMUSG00000018167.11,2305.010947382295,1.5517769620254775,0.05016094043550238,7.639545544959215e-211,8.401613791913171e-209,Stard3,59045.0
163,ENSMUSG00000030657.12,1193.5813645479939,-2.905623824853931,0.09409988345331287,1.6238761561303473e-210,1.7749066010808753e-208,Xylt1,233781.0
164,ENSMUSG00000078920.4,2629.8098027205733,4.306700348040848,0.1396171369448616,3.232193162534534e-210,3.5112654502265407e-208,Ifi47,15953.0
165,ENSMUSG00000020914.18,2668.0758416384338,-4.17648624353038,0.1355202728831265,6.229119290585071e-210,6.725938744306885e-208,Top2a,21973.0
166,ENSMUSG00000020668.11,1416.516235645536,2.888938348319593,0.0943428473545521,4.314202188390204e-207,4.630230493274691e-205,Kif3c,16570.0
167,ENSMUSG00000039678.13,5104.098618070279,1.6904061410919007,0.055399646767750096,4.385665596905424e-205,4.6787436092495234e-203,Tbc1d13,70296.0
168,ENSMUSG00000048234.14,8361.391907584848,1.7297629097348717,0.05657139231543714,5.492811973903662e-205,5.82499631708736e-203,Rnf149,67702.0
169,ENSMUSG00000027366.13,8779.94641774761,2.0559914988805392,0.06746346673432109,9.610340804427404e-205,1.0131232649211755e-202,Sppl2a,66552.0
170,ENSMUSG00000025492.7,10949.674957329327,4.000965622941027,0.1314387408445518,1.2722456736408977e-204,1.3333134659756607e-202,Ifitm3,66141.0
171,ENSMUSG00000044827.11,3744.7200014748873,2.1478411433604174,0.07057015112285397,3.193241438206465e-204,3.3269467522272744e-202,Tlr1,21897.0
172,ENSMUSG00000117239.2,690.0315105195995,3.013096970545503,0.09905378952544923,3.5714567042987526e-204,3.699364688592243e-202,Gpr31c,667359.0
173,ENSMUSG00000025017.11,22370.38234329797,1.6410219628718246,0.05395818721921849,7.282931876499266e-204,7.500156896630689e-202,Pik3ap1,83490.0
174,ENSMUSG00000023150.15,1962.1640862573804,-1.6028956887806052,0.052726538683815084,1.3061164791800338e-203,1.3373431720156025e-201,Ivns1abp,117198.0
175,ENSMUSG00000024308.16,16139.93094011842,2.569934046950909,0.08472115707419894,2.0114320600987972e-203,2.0477527761554386e-201,Tapbp,21356.0
176,ENSMUSG00000003206.8,1297.198143830392,2.6117699613718606,0.08606644241051707,4.2511748672170784e-203,4.303348376951107e-201,Ebi3,50498.0
177,ENSMUSG00000034266.7,455.2949961625424,4.516676066995388,0.1489559447924712,1.2950740163027336e-202,1.3035615070310453e-200,Batf,53314.0
178,ENSMUSG00000039531.9,736.6554806371028,2.6096074048199362,0.08640593676750227,1.2022827494911996e-201,1.2033634530862478e-199,Zup1,72580.0
179,ENSMUSG00000021039.10,3273.255758239009,1.1031606437190433,0.03643590971771766,1.3003271523611742e-201,1.2942250584618256e-199,Snw1,66354.0
180,ENSMUSG00000030107.11,2635.487449891976,6.3101717479415615,0.20967485363437063,8.707743304947226e-201,8.618730817829987e-199,Usp18,24110.0
181,ENSMUSG00000076441.10,629.0486769693271,5.04633548122453,0.16741822475647547,2.0184098553951048e-200,1.9867397781060325e-198,Ass1,11898.0
